Date,Open,High,Low,Close,Adj Close,Volume
2019-09-03,1770.000000,1800.800049,1768.000000,1789.839966,1789.839966,3543000
2019-09-04,1805.000000,1807.630005,1796.229980,1800.619995,1800.619995,2324100
2019-09-05,1821.949951,1842.000000,1815.579956,1840.719971,1840.719971,3310800
2019-09-06,1838.219971,1840.650024,1826.400024,1833.510010,1833.510010,2496900
2019-09-09,1841.000000,1850.000000,1824.609985,1831.349976,1831.349976,2999500
2019-09-10,1822.750000,1825.810059,1805.339966,1820.550049,1820.550049,2613900
2019-09-11,1812.140015,1833.420044,1809.079956,1822.989990,1822.989990,2432800
2019-09-12,1837.630005,1853.660034,1834.280029,1843.550049,1843.550049,2823500
2019-09-13,1842.010010,1846.119995,1835.170044,1839.339966,1839.339966,1971300
2019-09-16,1824.020020,1825.689941,1800.199951,1807.839966,1807.839966,3675500
2019-09-17,1807.079956,1823.989990,1804.099976,1822.550049,1822.550049,1982400
2019-09-18,1817.040039,1822.060059,1795.500000,1817.459961,1817.459961,2505600
2019-09-19,1821.020020,1832.569946,1817.900024,1821.500000,1821.500000,2031500
2019-09-20,1821.709961,1830.630005,1780.920044,1794.160034,1794.160034,5341900
2019-09-23,1777.000000,1792.699951,1767.319946,1785.300049,1785.300049,2922300
2019-09-24,1790.609985,1795.709961,1735.550049,1741.609985,1741.609985,4616000
2019-09-25,1747.359985,1773.000000,1723.000000,1768.329956,1768.329956,3493200
2019-09-26,1762.790039,1763.369995,1731.500000,1739.839966,1739.839966,3536800
2019-09-27,1748.000000,1749.119995,1713.819946,1725.449951,1725.449951,3907200
2019-09-30,1726.989990,1737.459961,1709.219971,1735.910034,1735.910034,2644700
2019-10-01,1746.000000,1755.599976,1728.410034,1735.650024,1735.650024,3084500
2019-10-02,1727.739990,1728.890015,1705.000000,1713.229980,1713.229980,3301100
2019-10-03,1713.000000,1725.000000,1685.060059,1724.420044,1724.420044,3468200
2019-10-04,1726.020020,1740.579956,1719.229980,1739.650024,1739.650024,2471900
2019-10-07,1731.630005,1747.829956,1723.699951,1732.660034,1732.660034,2154700
2019-10-08,1722.489990,1727.000000,1705.000000,1705.510010,1705.510010,2542000
2019-10-09,1719.609985,1729.949951,1714.359985,1721.989990,1721.989990,2043500
2019-10-10,1725.239990,1738.290039,1713.750000,1720.260010,1720.260010,2575200
2019-10-11,1742.920044,1745.449951,1729.859985,1731.920044,1731.920044,3255000
2019-10-14,1728.910034,1741.890015,1722.000000,1736.430054,1736.430054,1910200
2019-10-15,1742.140015,1776.449951,1740.619995,1767.380005,1767.380005,3111700
2019-10-16,1773.329956,1786.239990,1770.520020,1777.430054,1777.430054,2763400
2019-10-17,1796.489990,1798.849976,1782.020020,1787.479980,1787.479980,2647400
2019-10-18,1787.800049,1793.979980,1749.199951,1757.510010,1757.510010,3362500
2019-10-21,1769.660034,1785.880005,1765.000000,1785.660034,1785.660034,2130400
2019-10-22,1788.150024,1789.780029,1762.000000,1765.729980,1765.729980,2111700
2019-10-23,1761.300049,1770.050049,1742.000000,1762.170044,1762.170044,2138200
2019-10-24,1771.089966,1788.339966,1760.270020,1780.780029,1780.780029,4446100
2019-10-25,1697.550049,1764.209961,1695.000000,1761.329956,1761.329956,9626400
2019-10-28,1748.060059,1778.699951,1742.500000,1777.079956,1777.079956,3708900
2019-10-29,1774.810059,1777.000000,1755.810059,1762.709961,1762.709961,2276900
2019-10-30,1760.239990,1782.380005,1759.119995,1779.989990,1779.989990,2449400
2019-10-31,1775.989990,1792.000000,1771.479980,1776.660034,1776.660034,2781200
2019-11-01,1788.010010,1797.449951,1785.209961,1791.439941,1791.439941,2790400
2019-11-04,1801.010010,1815.060059,1801.010010,1804.660034,1804.660034,2771900
2019-11-05,1809.160034,1810.250000,1794.000000,1801.709961,1801.709961,1885500
2019-11-06,1801.000000,1802.500000,1788.579956,1795.770020,1795.770020,2029800
2019-11-07,1803.760010,1805.900024,1783.479980,1788.199951,1788.199951,2651100
2019-11-08,1787.890015,1789.880005,1774.040039,1785.880005,1785.880005,2123300
2019-11-11,1778.000000,1780.000000,1767.130005,1771.650024,1771.650024,1946000
2019-11-12,1774.660034,1786.219971,1771.910034,1778.000000,1778.000000,2037600
2019-11-13,1773.390015,1775.000000,1747.319946,1753.109985,1753.109985,2989500
2019-11-14,1751.430054,1766.589966,1749.560059,1754.599976,1754.599976,2264800
2019-11-15,1760.050049,1761.680054,1732.859985,1739.489990,1739.489990,3927600
2019-11-18,1738.300049,1753.699951,1722.709961,1752.530029,1752.530029,2839500
2019-11-19,1756.989990,1760.680054,1743.030029,1752.790039,1752.790039,2270800
2019-11-20,1749.140015,1762.520020,1734.119995,1745.530029,1745.530029,2790000
2019-11-21,1743.000000,1746.869995,1730.359985,1734.709961,1734.709961,2662900
2019-11-22,1739.020020,1746.430054,1731.000000,1745.719971,1745.719971,2479100
2019-11-25,1753.250000,1777.420044,1753.239990,1773.839966,1773.839966,3486200
2019-11-26,1779.920044,1797.030029,1778.349976,1796.939941,1796.939941,3181200
2019-11-27,1801.000000,1824.500000,1797.310059,1818.510010,1818.510010,3025600
2019-11-29,1817.780029,1824.689941,1800.790039,1800.800049,1800.800049,1923400
